prefix,whois
001,whois.apnic.net
002,whois.ripe.net
003,whois.arin.net
004,whois.arin.net
005,whois.ripe.net
006,whois.arin.net
007,whois.arin.net
008,whois.arin.net
009,whois.arin.net
011,whois.arin.net
012,whois.arin.net
013,whois.arin.net
014,whois.apnic.net
015,whois.arin.net
016,whois.arin.net
017,whois.arin.net
018,whois.arin.net
019,whois.arin.net
020,whois.arin.net
021,whois.arin.net
022,whois.arin.net
023,whois.arin.net
024,whois.arin.net
025,whois.ripe.net
026,whois.arin.net
027,whois.apnic.net
028,whois.arin.net
029,whois.arin.net
030,whois.arin.net
031,whois.ripe.net
032,whois.arin.net
033,whois.arin.net
034,whois.arin.net
035,whois.arin.net
036,whois.apnic.net
037,whois.ripe.net
038,whois.arin.net
039,whois.apnic.net
040,whois.arin.net
041,whois.afrinic.net
042,whois.apnic.net
043,whois.apnic.net
044,whois.arin.net
045,whois.arin.net
046,whois.ripe.net
047,whois.arin.net
048,whois.arin.net
049,whois.apnic.net
050,whois.arin.net
051,whois.ripe.net
052,whois.arin.net
053,whois.ripe.net
054,whois.arin.net
055,whois.arin.net
056,whois.arin.net
057,whois.ripe.net
058,whois.apnic.net
059,whois.apnic.net
060,whois.apnic.net
061,whois.apnic.net
062,whois.ripe.net
063,whois.arin.net
064,whois.arin.net
065,whois.arin.net
066,whois.arin.net
067,whois.arin.net
068,whois.arin.net
069,whois.arin.net
070,whois.arin.net
071,whois.arin.net
072,whois.arin.net
073,whois.arin.net
074,whois.arin.net
075,whois.arin.net
076,whois.arin.net
077,whois.ripe.net
078,whois.ripe.net
079,whois.ripe.net
080,whois.ripe.net
081,whois.ripe.net
082,whois.ripe.net
083,whois.ripe.net
084,whois.ripe.net
085,whois.ripe.net
086,whois.ripe.net
087,whois.ripe.net
088,whois.ripe.net
089,whois.ripe.net
090,whois.ripe.net
091,whois.ripe.net
092,whois.ripe.net
093,whois.ripe.net
094,whois.ripe.net
095,whois.ripe.net
096,whois.arin.net
097,whois.arin.net
098,whois.arin.net
099,whois.arin.net
100,whois.arin.net
101,whois.apnic.net
102,whois.afrinic.net
103,whois.apnic.net
104,whois.arin.net
105,whois.afrinic.net
106,whois.apnic.net
107,whois.arin.net
108,whois.arin.net
109,whois.ripe.net
110,whois.apnic.net
111,whois.apnic.net
112,whois.apnic.net
113,whois.apnic.net
114,whois.apnic.net
115,whois.apnic.net
116,whois.apnic.net
117,whois.apnic.net
118,whois.apnic.net
119,whois.apnic.net
120,whois.apnic.net
121,whois.apnic.net
122,whois.apnic.net
123,whois.apnic.net
124,whois.apnic.net
125,whois.apnic.net
126,whois.apnic.net
128,whois.arin.net
129,whois.arin.net
130,whois.arin.net
131,whois.arin.net
132,whois.arin.net
133,whois.apnic.net
134,whois.arin.net
135,whois.arin.net
136,whois.arin.net
137,whois.arin.net
138,whois.arin.net
139,whois.arin.net
140,whois.arin.net
141,whois.ripe.net
142,whois.arin.net
143,whois.arin.net
144,whois.arin.net
145,whois.ripe.net
146,whois.arin.net
147,whois.arin.net
148,whois.arin.net
149,whois.arin.net
150,whois.apnic.net
151,whois.ripe.net
152,whois.arin.net
153,whois.apnic.net
154,whois.afrinic.net
155,whois.arin.net
156,whois.arin.net
157,whois.arin.net
158,whois.arin.net
159,whois.arin.net
160,whois.arin.net
161,whois.arin.net
162,whois.arin.net
163,whois.apnic.net
164,whois.arin.net
165,whois.arin.net
166,whois.arin.net
167,whois.arin.net
168,whois.arin.net
169,whois.arin.net
170,whois.arin.net
171,whois.apnic.net
172,whois.arin.net
173,whois.arin.net
174,whois.arin.net
175,whois.apnic.net
176,whois.ripe.net
177,whois.lacnic.net
178,whois.ripe.net
179,whois.lacnic.net
180,whois.apnic.net
181,whois.lacnic.net
182,whois.apnic.net
183,whois.apnic.net
184,whois.arin.net
185,whois.ripe.net
186,whois.lacnic.net
187,whois.lacnic.net
188,whois.ripe.net
189,whois.lacnic.net
190,whois.lacnic.net
191,whois.lacnic.net
192,whois.arin.net
193,whois.ripe.net
194,whois.ripe.net
195,whois.ripe.net
196,whois.afrinic.net
197,whois.afrinic.net
198,whois.arin.net
199,whois.arin.net
200,whois.lacnic.net
201,whois.lacnic.net
202,whois.apnic.net
203,whois.apnic.net
204,whois.arin.net
205,whois.arin.net
206,whois.arin.net
207,whois.arin.net
208,whois.arin.net
209,whois.arin.net
210,whois.apnic.net
211,whois.apnic.net
212,whois.ripe.net
213,whois.ripe.net
214,whois.arin.net
215,whois.arin.net
216,whois.arin.net
217,whois.ripe.net
218,whois.apnic.net
219,whois.apnic.net
220,whois.apnic.net
221,whois.apnic.net
222,whois.apnic.net
223,whois.apnic.net
